"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a customer
  I want to search for products
  So that I can view relevant search results","15125","The search field should have the correct placeholder text","","Sat May 16 04:28:48 UTC 2026","passed","Sat May 16 04:29:03 UTC 2026","","Product Search","The search field should have the correct placeholder text",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","26084","Search for a valid product","","Sat May 16 04:28:07 UTC 2026","passed","Sat May 16 04:28:33 UTC 2026","","Product Search","Search for a valid product",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","17825","Active page number should be 1 after performing a new search","","Sat May 16 04:28:48 UTC 2026","passed","Sat May 16 04:29:06 UTC 2026","","Product Search","Active page number should be 1 after performing a new search",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","27982","Page title should contain searched product","","Sat May 16 04:28:07 UTC 2026","passed","Sat May 16 04:28:35 UTC 2026","","Product Search","Page title should contain searched product",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","14442","Search results should include the searched keyword in their titles","","Sat May 16 04:28:35 UTC 2026","passed","Sat May 16 04:28:50 UTC 2026","","Product Search","Search results should include the searched keyword in their titles",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","14274","Previous button should be disabled on first page","","Sat May 16 04:28:36 UTC 2026","passed","Sat May 16 04:28:50 UTC 2026","","Product Search","Previous button should be disabled on first page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","16959","Next pagination button should be visible on first page","","Sat May 16 04:28:50 UTC 2026","passed","Sat May 16 04:29:07 UTC 2026","","Product Search","Next pagination button should be visible on first page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","28171","User can navigate to second page of search results","","Sat May 16 04:28:07 UTC 2026","passed","Sat May 16 04:28:36 UTC 2026","","Product Search","User can navigate to second page of search results",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","14568","User can navigate using Next button","","Sat May 16 04:28:34 UTC 2026","passed","Sat May 16 04:28:48 UTC 2026","","Product Search","User can navigate using Next button",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","14898","Previous button should appear on second page","","Sat May 16 04:28:34 UTC 2026","passed","Sat May 16 04:28:48 UTC 2026","","Product Search","Previous button should appear on second page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","26041","Search for a valid product","","Sat May 16 04:28:07 UTC 2026","passed","Sat May 16 04:28:33 UTC 2026","","Product Search","Search for a valid product",""
