"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a customer
  I want to search for products
  So that I can view relevant search results","21344","Page title should contain searched product","","Sat May 02 04:17:48 UTC 2026","passed","Sat May 02 04:18:10 UTC 2026","","Product Search","Page title should contain searched product",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","12936","User can navigate using Next button","","Sat May 02 04:18:09 UTC 2026","passed","Sat May 02 04:18:22 UTC 2026","","Product Search","User can navigate using Next button",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","13237","Previous button should appear on second page","","Sat May 02 04:18:10 UTC 2026","passed","Sat May 02 04:18:23 UTC 2026","","Product Search","Previous button should appear on second page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","20660","Search for a valid product","","Sat May 02 04:17:48 UTC 2026","passed","Sat May 02 04:18:09 UTC 2026","","Product Search","Search for a valid product",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","21402","Search for a valid product","","Sat May 02 04:17:48 UTC 2026","passed","Sat May 02 04:18:10 UTC 2026","","Product Search","Search for a valid product",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","9837","The search field should have the correct placeholder text","","Sat May 02 04:18:20 UTC 2026","passed","Sat May 02 04:18:30 UTC 2026","","Product Search","The search field should have the correct placeholder text",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","14063","Active page number should be 1 after performing a new search","","Sat May 02 04:18:22 UTC 2026","passed","Sat May 02 04:18:36 UTC 2026","","Product Search","Active page number should be 1 after performing a new search",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","14122","Next pagination button should be visible on first page","","Sat May 02 04:18:22 UTC 2026","passed","Sat May 02 04:18:36 UTC 2026","","Product Search","Next pagination button should be visible on first page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","10568","Search results should include the searched keyword in their titles","","Sat May 02 04:18:10 UTC 2026","passed","Sat May 02 04:18:20 UTC 2026","","Product Search","Search results should include the searched keyword in their titles",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","22723","User can navigate to second page of search results","","Sat May 02 04:17:48 UTC 2026","passed","Sat May 02 04:18:11 UTC 2026","","Product Search","User can navigate to second page of search results",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","10764","Previous button should be disabled on first page","","Sat May 02 04:18:11 UTC 2026","passed","Sat May 02 04:18:22 UTC 2026","","Product Search","Previous button should be disabled on first page",""
