"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a customer
  I want to search for products
  So that I can view relevant search results","12287","Search results should include the searched keyword in their titles","","Sat May 09 04:22:28 UTC 2026","passed","Sat May 09 04:22:40 UTC 2026","","Product Search","Search results should include the searched keyword in their titles",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","11118","Previous button should be disabled on first page","","Sat May 09 04:22:30 UTC 2026","passed","Sat May 09 04:22:41 UTC 2026","","Product Search","Previous button should be disabled on first page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","14516","Next pagination button should be visible on first page","","Sat May 09 04:22:40 UTC 2026","passed","Sat May 09 04:22:55 UTC 2026","","Product Search","Next pagination button should be visible on first page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","17898","Page title should contain searched product","","Sat May 09 04:22:09 UTC 2026","passed","Sat May 09 04:22:27 UTC 2026","","Product Search","Page title should contain searched product",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","14608","Active page number should be 1 after performing a new search","","Sat May 09 04:22:40 UTC 2026","passed","Sat May 09 04:22:55 UTC 2026","","Product Search","Active page number should be 1 after performing a new search",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","20727","User can navigate to second page of search results","","Sat May 09 04:22:09 UTC 2026","passed","Sat May 09 04:22:30 UTC 2026","","Product Search","User can navigate to second page of search results",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","18842","Search for a valid product","","Sat May 09 04:22:09 UTC 2026","passed","Sat May 09 04:22:28 UTC 2026","","Product Search","Search for a valid product",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","13482","Previous button should appear on second page","","Sat May 09 04:22:27 UTC 2026","passed","Sat May 09 04:22:40 UTC 2026","","Product Search","Previous button should appear on second page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","17158","Search for a valid product","","Sat May 09 04:22:09 UTC 2026","passed","Sat May 09 04:22:26 UTC 2026","","Product Search","Search for a valid product",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","11826","The search field should have the correct placeholder text","","Sat May 09 04:22:39 UTC 2026","passed","Sat May 09 04:22:51 UTC 2026","","Product Search","The search field should have the correct placeholder text",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","12625","User can navigate using Next button","","Sat May 09 04:22:26 UTC 2026","passed","Sat May 09 04:22:39 UTC 2026","","Product Search","User can navigate using Next button",""
