"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a customer
  I want to search for products
  So that I can view relevant search results","11310","Previous button should appear on second page","","Sat May 23 04:39:56 UTC 2026","passed","Sat May 23 04:40:07 UTC 2026","","Product Search","Previous button should appear on second page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","10161","The search field should have the correct placeholder text","","Sat May 23 04:40:06 UTC 2026","passed","Sat May 23 04:40:16 UTC 2026","","Product Search","The search field should have the correct placeholder text",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","12396","Page title should contain searched product","","Sat May 23 04:39:44 UTC 2026","passed","Sat May 23 04:39:56 UTC 2026","","Product Search","Page title should contain searched product",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","9854","Search results should include the searched keyword in their titles","","Sat May 23 04:39:56 UTC 2026","passed","Sat May 23 04:40:06 UTC 2026","","Product Search","Search results should include the searched keyword in their titles",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","13554","User can navigate to second page of search results","","Sat May 23 04:39:44 UTC 2026","passed","Sat May 23 04:39:57 UTC 2026","","Product Search","User can navigate to second page of search results",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","12198","Search for a valid product","","Sat May 23 04:39:44 UTC 2026","passed","Sat May 23 04:39:56 UTC 2026","","Product Search","Search for a valid product",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","12156","Search for a valid product","","Sat May 23 04:39:44 UTC 2026","passed","Sat May 23 04:39:56 UTC 2026","","Product Search","Search for a valid product",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","12939","Next pagination button should be visible on first page","","Sat May 23 04:40:07 UTC 2026","passed","Sat May 23 04:40:20 UTC 2026","","Product Search","Next pagination button should be visible on first page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","9626","Previous button should be disabled on first page","","Sat May 23 04:39:57 UTC 2026","passed","Sat May 23 04:40:07 UTC 2026","","Product Search","Previous button should be disabled on first page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","12097","User can navigate using Next button","","Sat May 23 04:39:56 UTC 2026","passed","Sat May 23 04:40:08 UTC 2026","","Product Search","User can navigate using Next button",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","12808","Active page number should be 1 after performing a new search","","Sat May 23 04:40:07 UTC 2026","passed","Sat May 23 04:40:20 UTC 2026","","Product Search","Active page number should be 1 after performing a new search",""
