"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a customer
  I want to search for products
  So that I can view relevant search results","4737","Page title should contain searched product","","Tue Feb 24 22:05:44 UTC 2026","passed","Tue Feb 24 22:05:49 UTC 2026","","Product Search","Page title should contain searched product",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","8321","Search for a valid product","","Tue Feb 24 22:05:32 UTC 2026","passed","Tue Feb 24 22:05:40 UTC 2026","","Product Search","Search for a valid product",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","7456","User can navigate using Next button","","Tue Feb 24 22:05:56 UTC 2026","passed","Tue Feb 24 22:06:04 UTC 2026","","Product Search","User can navigate using Next button",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","5053","Previous button should be disabled on first page","","Tue Feb 24 22:06:16 UTC 2026","passed","Tue Feb 24 22:06:21 UTC 2026","","Product Search","Previous button should be disabled on first page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","7467","User can navigate to second page of search results","","Tue Feb 24 22:05:49 UTC 2026","passed","Tue Feb 24 22:05:56 UTC 2026","","Product Search","User can navigate to second page of search results",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","5820","Active page number should be 1 after performing a new search","","Tue Feb 24 22:06:25 UTC 2026","passed","Tue Feb 24 22:06:30 UTC 2026","","Product Search","Active page number should be 1 after performing a new search",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","3630","The search field should have the correct placeholder text","","Tue Feb 24 22:06:21 UTC 2026","passed","Tue Feb 24 22:06:25 UTC 2026","","Product Search","The search field should have the correct placeholder text",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","7061","Previous button should appear on second page","","Tue Feb 24 22:06:04 UTC 2026","passed","Tue Feb 24 22:06:11 UTC 2026","","Product Search","Previous button should appear on second page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","6056","Next pagination button should be visible on first page","","Tue Feb 24 22:06:30 UTC 2026","passed","Tue Feb 24 22:06:36 UTC 2026","","Product Search","Next pagination button should be visible on first page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","4870","Search results should include the searched keyword in their titles","","Tue Feb 24 22:06:11 UTC 2026","passed","Tue Feb 24 22:06:16 UTC 2026","","Product Search","Search results should include the searched keyword in their titles",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","4096","Search for a valid product","","Tue Feb 24 22:05:40 UTC 2026","passed","Tue Feb 24 22:05:44 UTC 2026","","Product Search","Search for a valid product",""
